Datetime,Ticker,Open,High,Low,Close
2018-07-09,NIFTY BANK.NSE_IDX,26634.3,26781.2,26611.55,26740.75
2018-07-10,NIFTY BANK.NSE_IDX,26816.15,26939.55,26778.5,26892.3
2018-07-11,NIFTY BANK.NSE_IDX,26874.3,26938.85,26774.6,26814.5
2018-07-12,NIFTY BANK.NSE_IDX,26946.65,27164.8,26936.05,26972.85
2018-07-13,NIFTY BANK.NSE_IDX,27049.3,27102.35,26902.3,26950.7
2018-07-16,NIFTY BANK.NSE_IDX,26930.6,26939.05,26643.95,26652.9
2018-07-17,NIFTY BANK.NSE_IDX,26674.6,27041.35,26653.65,27015.15
2018-07-18,NIFTY BANK.NSE_IDX,27122.9,27187.15,26834.45,26912.3
2018-07-19,NIFTY BANK.NSE_IDX,26960.3,27025.45,26730.1,26796.95
2018-07-20,NIFTY BANK.NSE_IDX,26748.05,26946.55,26718.6,26872.1
2018-07-23,NIFTY BANK.NSE_IDX,26728.7,27040.1,26671.35,27000.9
2018-07-24,NIFTY BANK.NSE_IDX,27003.9,27128.0,26868.15,26968.9
2018-07-25,NIFTY BANK.NSE_IDX,27022.0,27074.0,26939.35,27017.75
2018-07-26,NIFTY BANK.NSE_IDX,27079.6,27455.1,27045.05,27421.95
2018-07-27,NIFTY BANK.NSE_IDX,27511.75,27661.05,27455.0,27613.3
2018-07-30,NIFTY BANK.NSE_IDX,27784.65,27873.7,27607.95,27815.2
2018-07-31,NIFTY BANK.NSE_IDX,27804.75,27839.2,27651.3,27773.15
2018-08-01,NIFTY BANK.NSE_IDX,27706.25,27820.15,27477.9,27485.2
2018-08-02,NIFTY BANK.NSE_IDX,27487.9,27487.9,27327.95,27340.85
2018-08-03,NIFTY BANK.NSE_IDX,27521.75,27723.0,27448.15,27709.25
2018-08-06,NIFTY BANK.NSE_IDX,27802.6,27994.0,27766.05,27898.25
2018-08-07,NIFTY BANK.NSE_IDX,27958.1,27958.95,27827.3,27886.8
2018-08-08,NIFTY BANK.NSE_IDX,27910.9,28128.65,27858.75,28066.1
2018-08-09,NIFTY BANK.NSE_IDX,28187.5,28363.4,28132.0,28312.8
2018-08-10,NIFTY BANK.NSE_IDX,28353.75,28377.9,28087.65,28107.05
2018-08-13,NIFTY BANK.NSE_IDX,27816.5,27911.85,27739.5,27822.6
2018-08-14,NIFTY BANK.NSE_IDX,27857.4,28053.05,27854.9,28026.25
2018-08-16,NIFTY BANK.NSE_IDX,27838.65,28013.1,27779.5,27849.8
2018-08-17,NIFTY BANK.NSE_IDX,27960.25,28178.15,27953.8,28126.6
2018-08-20,NIFTY BANK.NSE_IDX,28204.9,28322.3,28204.9,28269.45
2018-08-21,NIFTY BANK.NSE_IDX,28304.25,28305.95,28151.9,28259.75
2018-08-23,NIFTY BANK.NSE_IDX,28314.7,28314.7,27965.35,28039.25
2018-08-24,NIFTY BANK.NSE_IDX,27977.85,28122.75,27782.8,27837.3
2018-08-27,NIFTY BANK.NSE_IDX,27982.1,28317.75,27958.2,28262.8
2018-08-28,NIFTY BANK.NSE_IDX,28380.1,28388.65,28152.7,28275.9
2018-08-29,NIFTY BANK.NSE_IDX,28237.0,28344.1,28167.8,28207.6
2018-08-30,NIFTY BANK.NSE_IDX,28233.7,28233.7,27961.75,28106.9
2018-08-31,NIFTY BANK.NSE_IDX,28010.15,28157.35,27940.95,28046.8
2018-09-03,NIFTY BANK.NSE_IDX,28203.2,28203.2,27777.4,27804.35
2018-09-04,NIFTY BANK.NSE_IDX,27848.7,27875.15,27385.85,27454.05
2018-09-05,NIFTY BANK.NSE_IDX,27414.7,27506.3,27136.05,27371.0
2018-09-06,NIFTY BANK.NSE_IDX,27472.4,27552.8,27246.25,27424.15
2018-09-07,NIFTY BANK.NSE_IDX,27449.2,27512.5,27232.8,27460.45
2018-09-10,NIFTY BANK.NSE_IDX,27404.65,27404.85,27142.55,27209.25
2018-09-11,NIFTY BANK.NSE_IDX,27282.3,27318.45,26772.25,26787.4
2018-09-12,NIFTY BANK.NSE_IDX,26863.55,26895.15,26555.15,26869.2
2018-09-14,NIFTY BANK.NSE_IDX,27068.65,27205.75,26989.8,27143.85
2018-09-17,NIFTY BANK.NSE_IDX,26970.45,27002.6,26743.4,26800.95
2018-09-18,NIFTY BANK.NSE_IDX,26717.8,26901.05,26407.45,26448.65
2018-09-19,NIFTY BANK.NSE_IDX,26553.15,26611.6,26235.7,26285.7
2018-09-21,NIFTY BANK.NSE_IDX,26251.2,26490.4,25053.35,25621.8
2018-09-24,NIFTY BANK.NSE_IDX,25649.7,25649.7,24904.5,24919.3
2018-09-25,NIFTY BANK.NSE_IDX,24979.65,25406.95,24678.25,25394.45
2018-09-26,NIFTY BANK.NSE_IDX,25497.75,25518.3,25197.35,25343.15
2018-09-27,NIFTY BANK.NSE_IDX,25452.5,25452.5,25007.05,25101.75
2018-09-28,NIFTY BANK.NSE_IDX,25127.25,25354.7,24919.25,25135.5
2018-10-01,NIFTY BANK.NSE_IDX,24948.6,25412.15,24707.65,25392.65
2018-10-03,NIFTY BANK.NSE_IDX,25258.55,25470.05,25026.35,25089.55
2018-10-04,NIFTY BANK.NSE_IDX,24705.5,24893.4,24501.05,24691.45
2018-10-05,NIFTY BANK.NSE_IDX,24703.95,25080.2,24250.65,24306.35
2018-10-08,NIFTY BANK.NSE_IDX,24396.65,24745.35,24240.05,24624.9
2018-10-09,NIFTY BANK.NSE_IDX,24704.65,24759.9,24464.9,24530.45
2018-10-10,NIFTY BANK.NSE_IDX,24605.0,25371.15,24559.9,25316.3
2018-10-11,NIFTY BANK.NSE_IDX,24614.9,24940.1,24493.7,24813.3
2018-10-12,NIFTY BANK.NSE_IDX,25021.15,25484.2,24975.45,25348.7
2018-10-15,NIFTY BANK.NSE_IDX,25447.15,25466.2,25147.8,25393.2
2018-10-16,NIFTY BANK.NSE_IDX,25429.65,25707.05,25351.8,25543.1
2018-10-17,NIFTY BANK.NSE_IDX,25858.5,25915.35,25101.95,25185.35
2018-10-19,NIFTY BANK.NSE_IDX,24934.85,25277.9,24922.65,25097.7
2018-10-22,NIFTY BANK.NSE_IDX,25503.7,25504.75,25021.35,25113.85
2018-10-23,NIFTY BANK.NSE_IDX,24872.65,25124.6,24784.9,25029.55
2018-10-24,NIFTY BANK.NSE_IDX,25354.3,25356.9,24839.65,25081.5
2018-10-25,NIFTY BANK.NSE_IDX,24848.9,24977.35,24696.85,24845.85
2018-10-26,NIFTY BANK.NSE_IDX,24727.6,24771.95,24353.1,24359.8
2018-10-29,NIFTY BANK.NSE_IDX,24595.15,25023.75,24404.55,24992.6
2018-10-30,NIFTY BANK.NSE_IDX,24925.35,25121.5,24686.85,24807.2
2018-10-31,NIFTY BANK.NSE_IDX,24829.0,25201.3,24528.35,25073.85
2018-11-01,NIFTY BANK.NSE_IDX,25285.3,25401.6,25129.45,25336.8
2018-11-02,NIFTY BANK.NSE_IDX,25553.95,25856.25,25499.15,25721.55
2018-11-05,NIFTY BANK.NSE_IDX,25713.25,25788.2,25534.4,25747.95
2018-11-06,NIFTY BANK.NSE_IDX,25751.7,25860.75,25558.35,25601.8
2018-11-09,NIFTY BANK.NSE_IDX,25700.0,25822.75,25598.75,25770.65
2018-11-12,NIFTY BANK.NSE_IDX,25830.6,25907.2,25495.1,25532.65
2018-11-13,NIFTY BANK.NSE_IDX,25452.7,25796.5,25384.55,25793.4
2018-11-14,NIFTY BANK.NSE_IDX,25956.5,26045.05,25806.7,25904.15
2018-11-15,NIFTY BANK.NSE_IDX,25957.2,26197.6,25728.0,26114.55
2018-11-16,NIFTY BANK.NSE_IDX,26226.95,26332.75,26122.55,26247.0
2018-11-19,NIFTY BANK.NSE_IDX,26368.4,26379.1,26204.35,26338.25
2018-11-20,NIFTY BANK.NSE_IDX,26186.1,26259.4,26041.8,26078.95
2018-11-21,NIFTY BANK.NSE_IDX,26115.35,26342.05,26060.55,26257.35
2018-11-22,NIFTY BANK.NSE_IDX,26248.8,26323.95,25947.85,26004.3
2018-11-26,NIFTY BANK.NSE_IDX,26064.35,26396.6,26025.05,26390.8
2018-11-27,NIFTY BANK.NSE_IDX,26320.45,26491.25,26268.65,26421.55
2018-11-28,NIFTY BANK.NSE_IDX,26496.05,26584.95,26419.65,26448.25
2018-11-29,NIFTY BANK.NSE_IDX,26611.35,27003.75,26577.15,26947.95
2018-11-30,NIFTY BANK.NSE_IDX,27012.7,27012.7,26764.9,26842.05
2018-12-03,NIFTY BANK.NSE_IDX,27037.1,27037.1,26791.65,26852.25
2018-12-04,NIFTY BANK.NSE_IDX,26800.0,26819.45,26644.75,26700.6
2018-12-05,NIFTY BANK.NSE_IDX,26579.95,26627.35,26443.65,26539.35
2018-12-06,NIFTY BANK.NSE_IDX,26353.6,26359.9,26149.45,26201.4
2018-12-07,NIFTY BANK.NSE_IDX,26342.2,26659.7,26252.1,26642.9
2018-12-10,NIFTY BANK.NSE_IDX,26181.6,26336.2,26072.0,26090.2
2018-12-11,NIFTY BANK.NSE_IDX,25687.05,26227.9,25601.75,26215.7
2018-12-12,NIFTY BANK.NSE_IDX,26258.9,26672.7,26214.75,26625.9
2018-12-13,NIFTY BANK.NSE_IDX,26829.2,26951.45,26723.65,26818.6
2018-12-14,NIFTY BANK.NSE_IDX,26856.65,26909.0,26732.7,26810.1
2018-12-17,NIFTY BANK.NSE_IDX,26925.8,27051.4,26908.6,27006.2
2018-12-18,NIFTY BANK.NSE_IDX,26889.3,27210.05,26840.8,27196.75
2018-12-19,NIFTY BANK.NSE_IDX,27245.05,27364.35,27214.3,27279.35
2018-12-20,NIFTY BANK.NSE_IDX,27165.6,27309.1,27084.5,27297.4
2018-12-21,NIFTY BANK.NSE_IDX,27262.05,27369.1,26823.1,26892.4
2018-12-24,NIFTY BANK.NSE_IDX,26878.0,26934.85,26676.95,26721.5
2018-12-26,NIFTY BANK.NSE_IDX,26596.65,27029.15,26408.15,27011.85
2018-12-27,NIFTY BANK.NSE_IDX,27206.9,27239.95,26845.1,26897.1
2018-12-28,NIFTY BANK.NSE_IDX,27071.15,27213.45,27039.6,27120.75
2018-12-31,NIFTY BANK.NSE_IDX,27275.45,27286.5,27105.0,27159.75
2019-01-01,NIFTY BANK.NSE_IDX,27235.5,27430.55,27019.05,27411.15
2019-01-02,NIFTY BANK.NSE_IDX,27304.7,27397.55,27077.6,27155.85
2019-01-03,NIFTY BANK.NSE_IDX,27193.7,27206.2,26923.75,26930.55
2019-01-04,NIFTY BANK.NSE_IDX,26989.3,27274.5,26926.1,27202.55
2019-01-07,NIFTY BANK.NSE_IDX,27378.9,27477.8,27279.55,27296.85
